Type,Location,Bedrooms,Bathrooms,Parking,proportion
Apartment,Dublin City North,1,1,No,0.8074866310160428
Apartment,Dublin City North,1,1,Yes,0.1925133689839572
Apartment,Dublin City North,1,2,No,0.8367346938775511
Apartment,Dublin City North,1,2,Yes,0.16326530612244897
Apartment,Dublin City North,2,1,No,0.75
Apartment,Dublin City North,2,1,Yes,0.25
Apartment,Dublin City North,2,2,No,0.8163265306122449
Apartment,Dublin City North,2,2,Yes,0.1836734693877551
Apartment,Dublin City North,3,1,No,0.6829268292682927
Apartment,Dublin City North,3,1,Yes,0.3170731707317073
Apartment,Dublin City North,3,2,No,0.68
Apartment,Dublin City North,3,2,Yes,0.32
Apartment,Dublin City South,1,1,No,0.8403755868544601
Apartment,Dublin City South,1,1,Yes,0.1596244131455399
Apartment,Dublin City South,1,2,No,0.7867647058823529
Apartment,Dublin City South,1,2,Yes,0.21323529411764705
Apartment,Dublin City South,2,1,No,0.8313953488372093
Apartment,Dublin City South,2,1,Yes,0.1686046511627907
Apartment,Dublin City South,2,2,No,0.8558558558558559
Apartment,Dublin City South,2,2,Yes,0.14414414414414414
Apartment,Dublin City South,3,1,No,0.7619047619047619
Apartment,Dublin City South,3,1,Yes,0.23809523809523808
Apartment,Dublin City South,3,2,No,0.7916666666666666
Apartment,Dublin City South,3,2,Yes,0.20833333333333334
Apartment,North County Dublin,1,1,No,0.9166666666666666
Apartment,North County Dublin,1,1,Yes,0.08333333333333333
Apartment,North County Dublin,1,2,No,0.6666666666666666
Apartment,North County Dublin,1,2,Yes,0.3333333333333333
Apartment,North County Dublin,2,1,No,0.8571428571428571
Apartment,North County Dublin,2,1,Yes,0.14285714285714285
Apartment,North County Dublin,2,2,No,1.0
Apartment,North County Dublin,3,1,No,1.0
Apartment,North County Dublin,3,2,No,1.0
Apartment,South County Dublin,1,1,No,0.8181818181818182
Apartment,South County Dublin,1,1,Yes,0.18181818181818182
Apartment,South County Dublin,1,2,No,1.0
Apartment,South County Dublin,2,1,No,0.8571428571428571
Apartment,South County Dublin,2,1,Yes,0.14285714285714285
Apartment,South County Dublin,2,2,No,1.0
Apartment,South County Dublin,3,1,No,1.0
Apartment,South County Dublin,3,2,No,1.0
House,Dublin City North,1,1,No,0.6666666666666666
House,Dublin City North,1,1,Yes,0.3333333333333333
House,Dublin City North,1,2,Yes,0.6
House,Dublin City North,1,2,No,0.4
House,Dublin City North,2,1,Yes,0.6666666666666666
House,Dublin City North,2,1,No,0.3333333333333333
House,Dublin City North,2,2,Yes,0.75
House,Dublin City North,2,2,No,0.25
House,Dublin City North,3,1,Yes,0.8
House,Dublin City North,3,1,No,0.2
House,Dublin City North,3,2,Yes,0.7358490566037735
House,Dublin City North,3,2,No,0.2641509433962264
House,Dublin City North,4,1,Yes,0.55
House,Dublin City North,4,1,No,0.45
House,Dublin City North,4,2,Yes,0.7647058823529411
House,Dublin City North,4,2,No,0.23529411764705882
House,Dublin City North,4,3,Yes,0.8461538461538461
House,Dublin City North,4,3,No,0.15384615384615385
House,Dublin City North,4,4,Yes,0.8
House,Dublin City North,4,4,No,0.2
House,Dublin City North,5,1,Yes,1.0
House,Dublin City North,5,2,No,0.5
House,Dublin City North,5,2,Yes,0.5
House,Dublin City North,5,3,Yes,0.5
House,Dublin City North,5,3,No,0.5
House,Dublin City North,5,4,No,0.5
House,Dublin City North,5,4,Yes,0.5
House,Dublin City South,1,1,No,0.6666666666666666
House,Dublin City South,1,1,Yes,0.3333333333333333
