Month,Type,Price,Location,Postcode,Bedrooms,Bathrooms,Parking,Garden,Lease Length,Contact
January,Apartment,840.00,Dublin City South,Dublin 12,1,2,Yes,No,12,Estate Agent
January,House,3110.00,Dublin City Nth.,Dublin 1,3,1,Yes,Yes,6,Owner
January,Apartment,2170,Dublin City South,Dublin 2,2,1,No,N/A,12,Estate Agent
January,House,2580,Dublin City Sth.,Dublin 6,3,2,Yes,Yes,12,Estate Agent
January,Apartment,1810,Dublin City North,Dublin 1,1,1,No,No,12,Estate Agent
January,Apartment,2830,Dublin City North,Dublin 1,2,2,No,No,12,Estate Agent
January,House,3520,Dublin City North,Dublin 1,4,2,No,Yes,3,Owner
January,Apartment,1650,Dublin City North,Dublin 1,1,1,No,No,12,Estate Agent
January,House,3280,Dublin City South,Dublin 22,3,2,Yes,Yes,12,Owner
January,Apartment,830,Dublin City South,Dublin 18,1,1,No,N/A,120,Estate Agent
January,Apartment,3030,Dublin City North,Dublin 1,2,1,Yes,No,12,Estate Agent
January,Apartment,1940,Dublin City South,Dublin 2,2,1,No,No,3,Estate Agent
January,Apartment,1040,Dublin City South,Dublin 16,2,1,No,No,12,Estate Agent
January,Apartment,2210,Dublin City North,Dublin 1,1,1,Yes,No,3,Estate Agent
January,Apartment,1600,Dublin City North,Dublin 13,1,1,Yes,No,12,Owner
January,Apartment,1020,Dublin City North,Dublin 7,2,1,No,No,12,Estate Agent
January,Apartment,1050,Dublin City South,Dublin 20,1,2,No,No,6,Estate Agent
January,House,3880,Dublin City North,Dublin 7,5,1,Yes,Yes,12,Owner
January,Apartment,1490,Dublin City Nth.,Dublin 1,1,1,No,No,12,Estate Agent
January,House,3270,Dublin City North,Dublin 9,3,2,Yes,No,12,Owner
January,House,2310,Dublin City Nth.,Dublin 15,3,1,Yes,Yes,6,Owner
January,Apartment,1540,Dublin City North,Dublin 15,1,2,Yes,No,12,Owner
January,Apartment,2500.00,Dublin City South,Dublin 6,2,1,No,No,12,Estate Agent
January,Apartment,3090,Dublin City South,Dublin 12,3,2,No,No,12,Estate Agent
January,Apartment,2660.00,Dublin City Nth.,Dublin 1,2,2,No,No,3,Estate Agent
January,House,4690,Dublin City South,Dublin 12,2,2,Yes,Yes,12,Estate Agent
January,Apartment,3370,Dublin City South,Dublin 2,2,1,No,No,12,Owner
January,Apartment,1800,Dublin City North,Dublin 1,1,2,Yes,No,12,Estate Agent
January,Apartment,1250,Dublin City North,Dublin 15,2,1,No,No,12,Estate Agent
January,Apartment,1800,Dublin City South,Dublin 2,1,1,No,No,12,Estate Agent
January,Apartment,2150.00,Dublin City Nth.,Dublin 1,1,1,No,N/A,6,Estate Agent
January,House,5660.00,Dublin City South,Dublin 4,3,2,No,Yes,6,Estate Agent
January,House,3050,Dublin City South,Dublin 10,4,4,Yes,Yes,6,Estate Agent
January,Apartment,1600.00,Dublin City South,Dublin 2,2,1,No,No,12,Owner
January,House,3710,Dublin City Nth.,Dublin 1,4,4,Yes,Yes,12,Estate Agent
January,House,4340.00,Dublin City South,Dublin 18,4,1,Yes,N/A,12,Owner
January,Apartment,1710,Dublin City South,Dublin 2,2,1,No,No,12,Estate Agent
January,Apartment,2040,Dublin City South,Dublin 2,2,1,No,No,12,Estate  Agent
January,Apartment,1000,Dublin City North,Dublin 11,1,1,No,No,12,Owner
January,Apartment,1560,Dublin City Sth.,Dublin 24,1,2,No,No,12,Estate Agent
January,House,4120,Dublin City South,Dublin 22,3,2,Yes,Yes,6,Estate Agent
January,Apartment,1960.00,Dublin City Nth.,Dublin 1,1,1,Yes,No,6,Estate Agent
January,Apartment,1240,Dublin City North,Dublin 1,2,1,No,No,12,Owner
January,Apartment,820,South Co Dublin,,1,2,No,No,12,Estate Agent
January,Apartment,1200,Dublin City South,Dublin 2,2,2,No,No,12,Estate Agent
January,Apartment,3810,Dublin City North,Dublin 11,3,1,No,No,12,Owner
January,Apartment,840,Dublin City North,Dublin 3,1,1,No,No,12,Estate Agent
January,Apartment,1340,Dublin City North,Dublin 7,1,1,Yes,No,12,Owner
January,House,4150,Dublin City North,Dublin 11,4,2,Yes,Yes,6,Owner
January,Apartment,1700,Dublin City South,Dublin 8,1,2,No,N/A,12,Owner
January,House,3240,Dublin City North,Dublin 1,3,2,Yes,Yes,6,Owner
January,Apartment,810,Dublin City Nth.,Dublin 11,1,1,No,No,6,Estate Agent
January,House,4860,Dublin City North,Dublin 1,3,1,Yes,Yes,12,Estate Agent
January,Apartment,3580,Dublin City Nth.,Dublin 1,3,2,No,No,12,Estate Agent
January,Apartment,1630,Dublin City North,Dublin 17,1,2,No,No,12,Owner
January,Apartment,1320,Dublin City Sth.,Dublin 6,1,2,No,No,12,Estate Agent
January,Apartment,2060,Dublin City North,Dublin 1,1,2,Yes,No,3,Estate Agent
January,House,2910,Dublin City Sth.,Dublin 18,3,1,Yes,N/A,12,Estate Agent
January,Apartment,1130,Dublin City North,Dublin 1,1,1,No,No,12,Owner
January,Apartment,1410,Dublin City South,Dublin 14,1,1,No,No,12,Owner
January,House,5100,Dublin City South,Dublin 18,3,2,No,Yes, ,Owner
January,House,4320,Dublin City Nth.,Dublin 11,3,2,Yes,Yes,6,Estate Agent
January,Apartment,3010,North  Co Dublin,,3,2,No,No,12,Owner
January,Apartment,1380,Dublin City Nth.,Dublin 5,2,1,No,No,6,Estate Agent
January,Apartment,2690,Dublin City North,Dublin 1,3,2,No,No,3,Estate Agent
January,Apartment,2220,Dublin City Nth.,Dublin 15,2,2,No,No,12,Estate Agent
